0,47
0,46
1,36
2,28
3,27
4,33
5,25
6,14
7,21
8,37
9,20
10,32
11,34
12,23
13,25
14,28
15,37
16,14
17,43
18,18
19,14
20,25
21,40
22,16
23,75
24,28
25,51
26,16
27,37
28,13
29,20
30,12
31,25
32,34
33,11
34,6
35,13
36,26
37,18
38,23
39,28
40,27
41,12
42,21
43,22
44,10
45,31
46,7
47,21
48,13
49,10
50,16
51,23
52,32
53,51
54,18
55,38
56,17
57,24
58,65
59,66
60,34
61,38
62,40
63,29
64,27
65,62
66,27
67,26
68,28
69,30
70,69
71,31
72,19
73,28
74,47
75,41
76,37
77,21
78,19
79,32
80,20
81,12
82,15
83,24
84,44
85,25
86,60
87,34
88,29
89,41
90,8
91,36
92,16
93,40
94,26
95,27
96,30
97,8
98,21
99,30
100,27
101,45
102,50
103,14
104,11
105,31
106,11
107,22
108,15
109,21
110,20
111,11
112,26
113,30
114,18
115,53
116,24
117,25
118,18
119,36
120,44
121,26
122,14
123,15
124,19
125,64
126,26
127,29
128,42
129,49
130,37
131,19
132,40
133,37
134,59
135,65
136,32
137,42
138,22
139,28
140,41
141,32
142,34
143,220
144,110
145,70
146,71
147,38
148,54
149,99
150,63
151,60
152,33
153,15
154,87
155,47
156,53
157,29
158,61
159,39
160,131
161,96
162,106
163,114
164,83
165,60
166,47
167,41
168,56
169,37
170,38
171,20
172,65
173,57
174,53
175,121
176,52
177,31
178,58
179,90
180,69
181,52
