0,30
0,34
1,55
2,24
3,28
4,18
5,41
6,48
7,39
8,31
9,43
10,38
11,24
12,25
13,21
14,32
15,34
16,61
17,33
18,44
19,24
20,31
21,43
22,55
23,66
24,36
25,48
26,95
27,44
28,42
29,74
30,101
31,75
32,93
33,76
34,49
35,64
36,57
37,63
38,79
39,65
40,48
41,76
42,48
43,81
44,66
45,61
46,88
47,47
48,71
49,68
50,78
51,87
52,72
53,111
54,93
55,124
56,82
57,148
58,117
59,125
60,150
61,74
62,103
63,104
64,95
65,105
66,90
67,120
68,98
69,79
70,64
71,112
72,149
73,131
74,128
75,104
76,131
77,148
78,143
79,123
80,122
81,177
82,123
83,88
84,138
85,92
86,101
87,98
88,109
89,92
90,83
91,121
92,111
93,163
94,109
95,122
96,95
97,135
98,127
99,154
100,133
101,168
102,101
103,92
104,107
105,93
106,134
107,136
108,168
109,156
110,101
111,67
112,138
113,127
114,126
115,121
116,110
117,148
118,91
119,213
120,100
121,151
122,225
123,258
124,141
125,205
126,158
127,217
128,114
129,148
130,135
131,172
132,79
133,208
134,158
135,166
136,149
137,113
138,85
139,153
140,141
141,131
142,97
143,159
144,124
145,91
146,185
147,115
148,120
149,123
150,143
151,184
152,230
153,127
154,236
155,162
156,238
157,215
158,217
159,167
160,171
161,278
162,248
163,199
164,150
165,177
166,133
167,175
168,203
169,144
170,199
171,156
172,172
173,153
174,140
175,293
176,214
177,274
178,266
179,178
180,146
181,158
