0,65
0,94
1,59
2,71
3,70
4,90
5,76
6,75
7,63
8,53
9,47
10,59
11,63
12,61
13,58
14,69
15,70
16,61
17,112
18,95
19,82
20,74
21,92
22,101
23,86
24,74
25,85
26,78
27,71
28,73
29,74
30,170
31,116
32,147
33,121
34,135
35,113
36,122
37,94
38,112
39,132
40,108
41,110
42,91
43,113
44,120
45,107
46,107
47,126
48,93
49,78
50,144
51,120
52,129
53,128
54,120
55,156
56,113
57,107
58,115
59,98
60,96
61,104
62,136
63,98
64,113
65,124
66,104
67,122
68,128
69,109
70,118
71,119
72,141
73,135
74,130
75,157
76,105
77,110
78,142
79,102
80,116
81,105
82,101
83,93
84,122
85,112
86,139
87,118
88,131
89,97
90,88
91,138
92,88
93,100
94,102
95,115
96,118
97,149
98,93
99,107
100,101
101,98
102,95
103,103
104,127
105,128
106,106
107,129
108,121
109,111
110,97
111,126
112,117
113,107
114,113
115,103
116,128
117,96
118,126
119,131
120,140
121,180
122,191
123,142
124,75
125,95
126,107
127,119
128,77
129,93
130,197
131,94
132,117
133,128
134,149
135,106
136,108
137,133
138,175
139,121
140,116
141,133
142,137
143,160
144,118
145,124
146,101
147,132
148,143
149,122
150,142
151,125
152,128
153,130
154,143
155,116
156,171
157,126
158,128
159,119
160,125
161,135
162,143
163,155
164,122
165,133
166,133
167,211
168,143
169,160
170,180
171,134
172,141
173,144
174,123
175,171
176,204
177,153
178,143
179,145
180,170
181,176
